"Tipo","horario","Nombre","Base","Departamento","Dirección","x","y",""
"SAMU","24H","DELTA 2","H LLIRIA","6","Paratge Cabeço de l'Águila CV-35, Salida 29, 46160 Llíria, Valencia","39.64194417","-0.61913967",""
"SAMU","24H","DELTA 6","H REQUENA","8","C. Constitución, 47, 46340 Requena, Valencia","39.4883930683","-1.09692693",""
"SAMU","12H","DELTA 1","CS UTIEL","8","Pl. Escuelas Pías, 1, 46300 Utiel, Valencia","39.5688593388","-1.20901108",""
"SAMU","12H","ALFA 11","CS BUÑOL","23","Av. Rafael Ridaura, 13, 46360 Buñol, Valencia","39.4248139858","-0.78634858",""
"SAMU","12H","ALFA 12","ALFA 12 CS MASSAMAGREL","5","EXISTE?","","",""
"SVB","24H","BRAVO 1","CS ARABISTA","10","Av. de Gaspar Aguilar, 90, 46017 València, Valencia","39.4532883167","-0.39388776",""
"SVB","12H","BRAVO 2","H PESET","10","Av. de Gaspar Aguilar, 90, 46017 València, Valencia","39.453599453","-0.39422035",""
"SVB","24H","BRAVO 3","CS NAZARET","5","siempre está en la Fe nueva","","",""
"SVB","24H","BRAVO 4","PL ALBORAYA","5","en Valencia, no en Alboraya desde septiembre sin actualización ","","",""
"SVB","12H","BRAVO 5","POBLA DE FARNALS","5","","","",""
"SVB","24H","BRAVO 6","LA FE CAMPANAR","7","Carrer d'Alfons Verdeguer, 1, 46008 València, Valencia","39.485013485","-0.39027214",""
"SVB","24H","BRAVO 13","CS MASSAMAGRELL","5","Carrer Metge Miquel Servet, 48, 46130 Massamagrell, Valencia","39.57267880","-0.33109188",""
"SVB","12H","BRAVO 21","CS BETERA","6","Albereda Escultor Ramon Inglés, 52, 46117 Bétera, Valencia","39.5938682556","-0.46442986",""
"SVB","12H","BRAVO 22","CHELVA AVDA VALENCIA 20","6","Av. de Valencia, 20, 46176 Chelva, Valencia","39.7500371933","-0.99511027",""
"SVB","12H","BRAVO 23","CS GESTALGAR CASA MEDICO","6","Calle L'Espart, 7 polígono industrial Pla de Pascanya PAR.63-C, 46160 Llíria, Valencia","39.6352922916","-0.58388472",""
"SVB","24H","BRAVO 24","CS LA ELIANA","6","Carrer Rosers, 21, 46183 L'Eliana, Valencia","39.5632052422","-0.53397417",""
"SVB","12H","BRAVO 25","BASE EDETANAS LLIRIA","6","Calle L'Espart, 7 polígono industrial Pla de Pascanya PAR.63-C, 46160 Llíria, Valencia","39.6352922916","-0.58388472",""
"SVB","24H","BRAVO 61","CS UTIEL","8","Pl. Escuelas Pías, 1, 46300 Utiel, Valencia","39.56888080","-1.20871067",""
